retailer_id,business_name,owner_name,owner_gender,owner_age,phone_number,email,shop_type,state,urbanization_level,latitude,longitude,years_in_business,months_in_business,num_employees,has_business_registration,mobile_money_pattern,monthly_mobile_money_txns,credit_segment,credit_limit,is_defaulter,onboarding_date,account_status
RTL_000001,Emmanuel's Store,Emmanuel Balogun,Male,57,08034332181,emmanuel.balogun@outlook.com,Market Stall,Oyo,Urban,7.505995,3.488084,8,103,1,True,Light User,8,Good,449041,False,2024-12-23,Active
RTL_000002,Stephen's Provisions,Stephen Eze,Female,37,08030133890,stephen.eze@outlook.com,Kiosk,Lagos,Urban,6.549175,3.279061,15,182,1,False,Regular User,14,High Risk,23890,False,2025-02-18,Active
RTL_000003,Peace's Shop,Peace Olawale,Male,28,08118637940,peace.olawale@gmail.com,Provision Store,Others,Rural,8.886614,8.272972,8,103,1,False,Regular User,17,Excellent,681601,False,2025-05-10,Active
RTL_000004,Peter's Provisions,Peter Okonkwo,Male,29,08164235116,peter.okonkwo@gmail.com,Market Stall,FCT,Rural,9.471327,7.4965,9,114,1,False,Light User,7,Good,455137,False,2025-05-11,Active
RTL_000005,Andrew's Mart,Andrew Okafor,Female,22,09055940781,andrew.okafor@yahoo.com,Provision Store,Lagos,Urban,6.189667,2.894836,2,31,1,False,Light User,5,Good,311858,False,2024-09-17,Active
RTL_000006,Comfort's Store,Comfort Abiola,Male,45,08034959310,comfort.abiola@outlook.com,Kiosk,Delta,Rural,5.629751,5.50341,5,62,1,True,Regular User,12,Good,363252,False,2025-02-22,Active
RTL_000007,Stephen's Shop,Stephen Ekwueme,Male,53,08154131647,stephen.ekwueme@outlook.com,Kiosk,Rivers,Peri-Urban,4.743141,6.575219,7,84,1,False,Non-User,0,Fair,337116,False,2025-02-10,Active
RTL_000008,John's Mart,John Obi,Female,27,08105534192,john.obi@outlook.com,Provision Store,Lagos,Urban,6.954098,3.68732,7,95,2,False,Regular User,16,Fair,296779,False,2024-11-14,Active
RTL_000009,Grace's Shop,Grace Balogun,Male,58,08107648350,grace.balogun@gmail.com,Provision Store,Lagos,Urban,6.329181,3.043856,1,14,1,True,Heavy User,28,Moderate Risk,168451,False,2025-03-12,Active
RTL_000010,Andrew's Store,Andrew Ogunleye,Female,23,08155641395,andrew.ogunleye@gmail.com,Kiosk,Kaduna,Peri-Urban,10.158587,7.91424,2,35,1,True,Non-User,0,Excellent,577789,False,2025-02-23,Active
RTL_000011,Michael's Provisions,Michael Adetokunbo,Female,26,07037242388,michael.adetokunbo@yahoo.com,Mini Mart,Oyo,Urban,7.719654,3.67216,6,73,3,True,Heavy User,20,Good,343384,False,2025-03-01,Active
RTL_000012,Joy's Ventures,Joy Nnamani,Male,28,07039653287,joy.nnamani@gmail.com,Kiosk,Lagos,Urban,6.73555,3.688701,8,104,1,True,Non-User,0,Good,382874,False,2025-02-02,Active
RTL_000013,Peter's Store,Peter Ekwueme,Female,33,09051226916,peter.ekwueme@yahoo.com,Superette,Lagos,Rural,6.541036,3.140029,5,64,4,True,Regular User,12,Good,265151,False,2024-12-07,Active
RTL_000014,Elizabeth's Ventures,Elizabeth Olawale,Male,56,07068480184,elizabeth.olawale@outlook.com,Provision Store,Oyo,Urban,7.511629,4.328554,16,200,2,True,Heavy User,37,Moderate Risk,127505,False,2024-08-27,Active
RTL_000015,Faith's Mart,Faith Nnamani,Female,24,08064627048,faith.nnamani@gmail.com,Mini Mart,Lagos,Peri-Urban,6.203223,3.245669,4,48,3,False,Regular User,15,Good,387965,False,2025-01-26,Active
RTL_000016,David's Ventures,David Adeyemi,Male,26,09071489325,david.adeyemi@gmail.com,Provision Store,Oyo,Peri-Urban,7.852637,4.006904,6,74,2,False,Heavy User,31,High Risk,38589,False,2025-05-18,Active
RTL_000017,Simon's Ventures,Simon Olawale,Female,42,08158095701,simon.olawale@yahoo.com,Market Stall,Edo,Urban,6.801655,6.06732,22,264,1,True,Regular User,15,Moderate Risk,153746,False,2024-07-08,Active
RTL_000018,Joseph's Mart,Joseph Adetokunbo,Male,30,08130391171,joseph.adetokunbo@outlook.com,Mini Mart,Kano,Urban,11.797491,8.414551,10,125,3,True,Light User,5,Excellent,429592,False,2025-06-20,Active
RTL_000019,Blessing's Shop,Blessing Nnamani,Male,36,08107824896,blessing.nnamani@gmail.com,Market Stall,Lagos,Urban,6.421184,2.929969,2,25,1,True,Regular User,19,Excellent,580798,False,2024-12-25,Active
RTL_000020,Patience's Ventures,Patience Nnamani,Female,26,08153465787,patience.nnamani@gmail.com,Provision Store,Lagos,Rural,6.384591,3.006261,6,75,3,True,Regular User,12,Excellent,603687,False,2024-08-29,Active
RTL_000021,Nathaniel's Shop,Nathaniel Olawale,Male,47,08131509839,nathaniel.olawale@gmail.com,Kiosk,Lagos,Urban,6.457921,3.623243,21,258,1,True,Heavy User,20,Excellent,577247,False,2025-02-27,Active
RTL_000022,Peace's Store,Peace Okafor,Male,24,08060310518,peace.okafor@gmail.com,Mini Mart,Oyo,Peri-Urban,8.007111,3.865673,4,57,3,False,Heavy User,33,Excellent,409435,False,2025-04-25,Active
RTL_000023,Blessing's Mart,Blessing Adetokunbo,Male,51,08077382997,blessing.adetokunbo@gmail.com,Kiosk,Lagos,Urban,6.787764,3.686113,5,66,1,False,Light User,6,Excellent,596489,False,2024-10-26,Active
RTL_000024,Comfort's Provisions,Comfort Okafor,Female,53,08156311656,comfort.okafor@yahoo.com,Market Stall,Kaduna,Peri-Urban,10.954392,7.860752,20,247,1,False,Heavy User,38,Moderate Risk,143610,False,2025-03-24,Active
RTL_000025,Samuel's Provisions,Samuel Okafor,Male,56,09050106513,samuel.okafor@gmail.com,Kiosk,Lagos,Urban,6.238989,3.256459,23,276,1,True,Regular User,11,Good,307458,False,2025-03-20,Active
RTL_000026,Mary's Shop,Mary Adetokunbo,Female,58,08037262473,mary.adetokunbo@gmail.com,Provision Store,Edo,Urban,6.252946,6.071281,9,115,3,False,Regular User,11,Good,320640,False,2025-03-29,Active
RTL_000027,David's Provisions,David Abiola,Male,41,08158108013,david.abiola@gmail.com,Market Stall,Kano,Peri-Urban,12.256743,8.195124,16,200,1,False,Regular User,18,Excellent,600968,False,2024-09-22,Active
RTL_000028,Andrew's Provisions,Andrew Oshodi,Female,57,07067360260,andrew.oshodi@yahoo.com,Provision Store,Oyo,Urban,7.643211,3.758665,21,258,2,True,Non-User,1,High Risk,31174,False,2024-11-22,Active
RTL_000029,Blessing's Mart,Blessing Eze,Female,59,09077468723,blessing.eze@yahoo.com,Market Stall,Kaduna,Rural,10.69853,7.753464,7,91,1,False,Light User,7,Excellent,488092,False,2025-01-19,Active
RTL_000030,James's Shop,James Okafor,Male,52,08039805009,james.okafor@yahoo.com,Kiosk,Delta,Urban,6.087994,5.999889,19,239,1,True,Non-User,0,Excellent,415485,False,2025-01-11,Active
RTL_000031,Ruth's Ventures,Ruth Ojo,Female,46,09078208121,ruth.ojo@outlook.com,Provision Store,Lagos,Urban,6.67361,3.625245,24,288,1,False,Heavy User,32,Excellent,696764,False,2024-09-03,Active
RTL_000032,Patience's Store,Patience Okafor,Male,35,08073619399,patience.okafor@gmail.com,Provision Store,Lagos,Peri-Urban,6.993703,3.402298,15,180,2,False,Non-User,0,Moderate Risk,188186,False,2025-06-21,Active
RTL_000033,Gloria's Ventures,Gloria Oshodi,Female,49,08066998543,gloria.oshodi@outlook.com,Kiosk,Lagos,Urban,6.19408,3.526048,5,68,1,True,Heavy User,28,High Risk,98752,True,2024-12-03,Active
RTL_000034,Samuel's Mart,Samuel Chukwu,Female,31,08134624751,samuel.chukwu@gmail.com,Market Stall,Lagos,Rural,6.441039,3.460363,11,133,1,True,Regular User,15,Good,277712,False,2025-02-07,Active
